Accession,year,conforms
GSE101815,2017,1
GSE101818,2018,1
GSE101821,2018,1
GSE101822,2018,0
GSE101823,2017,1
GSE101824,2018,1
GSE101825,2017,1
GSE101826,2018,1
GSE101833,2018,1
GSE101834,2018,0
GSE101838,2017,1
GSE101839,2018,0
GSE101843,2018,1
GSE101851,2018,0
GSE101853,2018,1
GSE101854,2018,0
GSE101856,2019,0
GSE101857,2017,1
GSE101859,2017,1
GSE101860,2018,1
GSE101865,2017,0
GSE101868,2017,1
GSE101869,2018,1
GSE101871,2017,1
GSE101872,2017,1
GSE101877,2018,1
GSE101878,2017,1
GSE101880,2018,1
GSE101881,2019,1
GSE101883,2018,0
GSE101891,2018,0
GSE101893,2017,1
GSE101898,2017,1
GSE101900,2017,1
GSE101901,2018,1
GSE101902,2017,0
GSE101903,2017,0
GSE101904,2018,1
GSE101905,2017,1
GSE101906,2019,1
GSE101909,2018,1
GSE101910,2017,1
GSE101911,2019,1
GSE101913,2018,1
GSE101915,2018,1
GSE101917,2018,1
GSE101918,2018,0
GSE101921,2018,1
GSE101922,2018,0
GSE101923,2017,0
GSE101925,2017,0
GSE101927,2017,1
GSE101928,2017,1
GSE101930,2019,1
GSE101934,2019,1
GSE101939,2017,1
GSE101942,2018,1
GSE101943,2018,1
GSE101944,2017,1
GSE101946,2018,1
GSE101948,2017,0
GSE101952,2017,0
GSE101957,2017,0
GSE101958,2017,0
GSE101960,2018,1
GSE101963,2017,1
GSE101964,2017,1
GSE101966,2017,1
GSE101968,2017,1
GSE101972,2017,1
GSE101974,2017,1
GSE101975,2017,0
GSE101977,2017,1
GSE101980,2019,1
GSE101981,2017,0
GSE101983,2018,0
GSE101984,2017,1
GSE101986,2017,1
GSE101988,2018,1
GSE101991,2018,1
GSE101992,2018,1
GSE101993,2018,1
GSE101994,2017,1
GSE101995,2017,1
GSE101996,2017,1
GSE101997,2017,0
GSE101999,2018,1
GSE102000,2017,0
GSE102002,2018,1
GSE102003,2018,1
GSE102004,2018,1
GSE102007,2017,0
GSE102014,2017,1
GSE102018,2019,0
GSE102020,2017,1
GSE102025,2017,0
GSE102032,2018,0
GSE102033,2017,0
GSE102035,2017,0
GSE102036,2018,1
GSE102039,2017,1
GSE102040,2017,0
GSE102041,2018,1
GSE102044,2018,0
GSE102045,2018,1
GSE102047,2017,1
GSE102048,2018,1
GSE102055,2019,1
GSE102060,2017,1
GSE102063,2018,1
GSE102066,2017,1
GSE102069,2018,1
GSE102070,2019,1
GSE102072,2018,1
GSE102073,2017,1
GSE102086,2018,1
GSE102090,2018,1
GSE102091,2017,1
GSE102094,2017,0
GSE102097,2017,0
GSE102099,2018,1
GSE102101,2017,0
GSE102104,2019,1
GSE102105,2019,0
GSE102107,2018,1
GSE102112,2018,1
GSE102113,2018,1
GSE102114,2018,1
GSE102116,2019,1
GSE102118,2018,1
GSE102120,2018,0
GSE102123,2017,0
GSE102125,2017,0
GSE102128,2018,1
GSE102130,2018,1
GSE102132,2017,0
GSE102138,2017,1
GSE102139,2018,1
GSE102140,2018,0
GSE102141,2017,1
GSE102142,2017,1
GSE102145,2018,1
GSE102146,2018,1
GSE102147,2018,0
GSE102152,2017,1
GSE102155,2018,1
GSE102157,2017,0
GSE102158,2018,1
GSE102159,2017,1
GSE102160,2017,1
GSE102161,2017,1
GSE102162,2017,1
GSE102163,2017,0
GSE102167,2017,1
GSE102170,2017,0
GSE102171,2018,1
GSE102173,2019,1
GSE102175,2019,0
GSE102182,2017,1
GSE102183,2017,0
GSE102185,2017,1
GSE102187,2018,1
GSE102188,2017,1
GSE102190,2018,1
GSE102191,2017,1
GSE102192,2017,1
GSE102201,2017,0
GSE102202,2019,1
GSE102204,2017,1
GSE102209,2018,0
GSE102210,2019,0
GSE102211,2019,0
GSE102212,2019,0
GSE102215,2017,1
GSE102216,2018,1
GSE102220,2018,1
GSE102221,2017,1
GSE102227,2017,1
GSE102228,2018,1
GSE102230,2018,1
GSE102231,2018,1
GSE102233,2017,1
GSE102237,2017,1
GSE102240,2018,1
GSE102243,2019,1
GSE102244,2017,1
GSE102246,2017,1
GSE102247,2018,1
