Accession,year,conforms
GSE114144,2018,1
GSE114146,2018,0
GSE114147,2018,1
GSE114149,2018,0
GSE114150,2019,1
GSE114156,2018,0
GSE114157,2019,1
GSE114158,2019,1
GSE114159,2018,1
GSE114161,2018,1
GSE114164,2019,0
GSE114165,2018,1
GSE114167,2018,0
GSE114173,2019,1
GSE114174,2018,1
GSE114175,2018,1
GSE114176,2019,0
GSE114177,2018,1
GSE114178,2019,1
GSE114179,2019,1
GSE114180,2018,0
GSE114182,2019,1
GSE114186,2019,1
GSE114188,2018,0
GSE114189,2018,1
GSE114191,2018,0
GSE114193,2018,1
GSE114194,2019,0
GSE114195,2018,1
GSE114198,2018,0
GSE114199,2018,0
GSE114207,2018,1
GSE114212,2019,1
GSE114213,2018,1
GSE114214,2019,1
GSE114216,2019,1
GSE114217,2018,1
GSE114218,2018,0
GSE114219,2018,1
GSE114220,2018,0
GSE114225,2019,0
GSE114229,2018,1
GSE114230,2019,0
GSE114231,2019,0
GSE114232,2018,1
GSE114233,2019,0
GSE114244,2018,0
GSE114247,2018,1
GSE114249,2018,1
GSE114250,2018,1
GSE114256,2019,0
GSE114258,2018,1
GSE114260,2018,1
GSE114261,2018,0
GSE114262,2018,1
GSE114265,2019,1
GSE114267,2019,1
GSE114268,2019,0
GSE114270,2019,0
GSE114271,2018,1
GSE114273,2019,1
GSE114275,2019,0
GSE114278,2018,0
GSE114279,2018,1
GSE114280,2018,0
GSE114284,2019,0
GSE114285,2018,1
GSE114286,2018,1
GSE114289,2018,0
GSE114291,2019,1
GSE114296,2018,1
GSE114297,2018,0
GSE114298,2018,1
GSE114300,2018,0
GSE114301,2018,1
GSE114302,2018,0
GSE114304,2018,0
GSE114311,2019,1
GSE114312,2018,0
GSE114313,2018,0
GSE114314,2018,0
GSE114315,2018,0
GSE114320,2019,1
GSE114326,2019,1
GSE114331,2019,1
GSE114332,2019,1
GSE114334,2019,1
GSE114335,2019,0
GSE114336,2018,1
GSE114340,2019,1
GSE114341,2018,1
GSE114342,2019,1
GSE114343,2018,1
GSE114344,2018,0
GSE114346,2018,1
GSE114348,2018,0
GSE114350,2019,1
GSE114351,2018,0
GSE114355,2019,1
GSE114356,2019,1
GSE114358,2018,0
GSE114360,2018,1
GSE114363,2018,1
GSE114368,2018,0
GSE114369,2018,0
GSE114371,2018,1
GSE114372,2019,1
GSE114373,2018,1
GSE114374,2018,1
GSE114379,2018,1
GSE114381,2019,1
GSE114383,2018,0
GSE114396,2019,0
GSE114397,2018,1
GSE114398,2018,1
GSE114399,2018,1
GSE114400,2018,1
GSE114401,2018,1
GSE114402,2018,1
GSE114406,2018,0
GSE114407,2018,1
GSE114412,2019,1
GSE114416,2019,0
GSE114417,2018,0
GSE114424,2018,0
GSE114428,2018,1
GSE114432,2018,0
GSE114434,2018,1
GSE114436,2019,1
GSE114444,2018,0
GSE114448,2018,1
GSE114450,2019,0
GSE114451,2019,0
GSE114452,2018,0
GSE114458,2018,0
GSE114459,2018,1
GSE114460,2018,1
GSE114461,2018,1
GSE114462,2018,0
GSE114463,2018,0
GSE114464,2019,0
GSE114467,2019,1
GSE114471,2018,1
GSE114472,2019,1
GSE114473,2019,1
GSE114474,2018,0
GSE114475,2018,0
GSE114478,2018,1
GSE114482,2018,1
GSE114483,2018,1
GSE114486,2019,1
GSE114490,2018,1
GSE114491,2019,1
GSE114493,2018,1
GSE114494,2018,0
GSE114495,2019,1
GSE114497,2019,1
GSE114509,2018,1
GSE114510,2018,0
GSE114514,2018,1
GSE114516,2018,1
GSE114519,2018,1
GSE114521,2018,0
GSE114522,2018,0
GSE114524,2019,1
GSE114526,2019,0
GSE114528,2018,1
GSE114529,2018,0
GSE114530,2019,0
GSE114531,2019,1
GSE114532,2018,1
GSE114533,2018,1
GSE114538,2018,0
GSE114540,2018,0
GSE114541,2018,0
GSE114542,2018,0
GSE114543,2018,0
GSE114546,2019,1
GSE114549,2019,0
GSE114551,2019,0
GSE114552,2019,1
GSE114553,2018,0
GSE114554,2018,0
GSE114555,2018,1
GSE114558,2019,1
GSE114559,2018,1
GSE114560,2018,0
GSE114561,2018,1
GSE114562,2019,1
GSE114569,2019,1
GSE114572,2018,1
GSE114573,2018,1
GSE114574,2019,1
GSE114575,2018,1
GSE114576,2018,0
GSE114579,2018,1
GSE114583,2018,0
GSE114585,2018,0
GSE114586,2018,1
GSE114587,2018,0
GSE114589,2018,0
GSE114592,2018,0
GSE114595,2018,0
GSE114596,2019,0
GSE114597,2018,1
GSE114599,2019,1
GSE114600,2018,0
GSE114601,2018,1
GSE114603,2018,0
GSE114607,2018,1
GSE114608,2019,1
GSE114610,2018,1
GSE114611,2018,1
GSE114612,2018,1
GSE114613,2018,1
GSE114615,2019,0
GSE114618,2019,1
GSE114624,2018,1
GSE114625,2018,1
GSE114630,2018,1
GSE114631,2019,0
GSE114632,2019,1
GSE114634,2018,0
GSE114636,2018,1
GSE114637,2019,0
GSE114642,2019,1
GSE114643,2019,0
GSE114644,2018,1
GSE114645,2019,1
GSE114647,2019,1
GSE114651,2018,0
GSE114652,2018,1
GSE114658,2019,0
GSE114659,2019,0
GSE114662,2018,1
GSE114663,2018,0
GSE114668,2018,0
GSE114670,2018,1
GSE114673,2018,0
GSE114674,2019,1
GSE114675,2018,1
GSE114677,2019,1
GSE114678,2019,1
GSE114679,2019,0
GSE114685,2018,1
GSE114686,2019,1
GSE114687,2019,1
GSE114688,2019,1
GSE114690,2018,0
GSE114691,2019,1
GSE114693,2019,1
GSE114702,2018,1
GSE114705,2018,1
GSE114706,2018,0
GSE114708,2018,1
GSE114710,2018,1
GSE114713,2018,1
GSE114716,2018,1
GSE114717,2018,1
GSE114722,2019,1
GSE114723,2018,1
GSE114724,2018,0
GSE114725,2018,0
GSE114726,2018,1
GSE114727,2018,0
GSE114729,2019,1
GSE114730,2018,1
GSE114738,2018,1
GSE114739,2018,1
GSE114741,2019,1
GSE114745,2018,1
GSE114748,2018,1
GSE114758,2018,0
GSE114759,2018,1
GSE114760,2019,1
GSE114762,2018,1
GSE114765,2018,1
GSE114766,2019,1
GSE114767,2019,0
GSE114775,2018,1
GSE114777,2018,0
GSE114780,2018,1
GSE114781,2018,1
GSE114782,2018,0
GSE114784,2019,1
GSE114785,2018,0
GSE114789,2018,0
GSE114791,2019,1
GSE114793,2018,1
GSE114794,2018,0
GSE114796,2018,1
GSE114797,2019,1
GSE114798,2018,1
GSE114799,2018,1
GSE114802,2018,1
GSE114805,2018,0
GSE114808,2019,0
GSE114809,2018,0
GSE114810,2018,1
GSE114811,2018,1
GSE114813,2018,0
GSE114814,2018,0
GSE114815,2019,1
GSE114818,2018,0
GSE114819,2018,1
GSE114820,2018,1
GSE114822,2018,1
GSE114824,2018,0
GSE114826,2019,0
GSE114827,2018,1
GSE114836,2018,0
GSE114837,2019,0
GSE114838,2018,1
GSE114840,2019,0
GSE114842,2018,1
GSE114845,2018,0
GSE114850,2018,1
GSE114853,2018,1
GSE114854,2018,1
GSE114855,2019,1
GSE114856,2019,0
GSE114857,2019,0
GSE114859,2019,0
GSE114861,2018,0
GSE114862,2018,0
GSE114863,2018,0
GSE114878,2018,1
GSE114880,2018,1
GSE114883,2019,1
GSE114884,2018,1
GSE114885,2019,1
GSE114892,2019,1
GSE114894,2019,1
GSE114895,2018,1
GSE114898,2019,1
GSE114905,2018,1
GSE114906,2019,1
GSE114907,2018,1
GSE114909,2019,1
GSE114910,2018,0
GSE114912,2018,0
GSE114913,2018,1
GSE114916,2018,1
GSE114917,2018,1
GSE114919,2018,0
GSE114921,2018,0
GSE114922,2018,0
GSE114924,2018,1
GSE114925,2018,1
GSE114927,2018,1
GSE114933,2018,1
GSE114936,2019,1
GSE114938,2019,1
GSE114939,2018,1
GSE114940,2019,0
GSE114941,2018,1
GSE114943,2019,0
GSE114945,2018,0
GSE114946,2018,1
GSE114948,2019,0
GSE114949,2019,1
GSE114950,2019,1
GSE114952,2018,0
GSE114953,2018,0
GSE114954,2018,1
GSE114955,2018,1
GSE114956,2019,0
GSE114959,2018,0
GSE114960,2018,1
GSE114961,2018,1
GSE114962,2018,1
GSE114963,2018,1
GSE114965,2018,1
GSE114966,2018,1
GSE114967,2019,1
GSE114969,2018,1
GSE114970,2018,0
GSE114971,2018,0
GSE114976,2019,1
GSE114981,2019,0
GSE114982,2019,0
GSE114985,2019,1
GSE114986,2019,0
GSE114987,2018,1
GSE114988,2018,1
GSE114992,2018,1
GSE114993,2018,0
GSE114995,2019,1
GSE114997,2018,1
GSE114998,2018,0
GSE115001,2018,0
GSE115003,2019,1
GSE115004,2019,1
GSE115005,2019,0
GSE115006,2018,1
GSE115007,2018,1
GSE115008,2018,1
GSE115011,2018,1
GSE115012,2018,0
GSE115020,2019,0
GSE115021,2019,1
GSE115024,2018,1
GSE115025,2018,0
GSE115026,2019,1
GSE115028,2019,0
GSE115030,2019,1
GSE115045,2019,1
GSE115046,2019,0
GSE115048,2019,1
GSE115050,2019,0
GSE115055,2018,1
GSE115059,2019,1
GSE115061,2018,0
GSE115066,2018,1
GSE115067,2018,1
GSE115070,2018,1
GSE115075,2018,1
GSE115077,2019,1
GSE115079,2019,0
GSE115081,2019,1
GSE115091,2018,1
GSE115093,2018,1
GSE115094,2018,1
GSE115095,2019,1
GSE115097,2018,0
GSE115098,2018,0
GSE115099,2018,1
GSE115100,2018,1
GSE115101,2018,0
GSE115102,2018,1
GSE115104,2019,0
GSE115106,2018,0
GSE115110,2019,1
GSE115112,2018,0
GSE115121,2019,1
GSE115122,2018,0
GSE115124,2018,0
GSE115125,2018,1
GSE115127,2018,1
GSE115128,2018,0
GSE115129,2018,0
GSE115131,2018,1
GSE115132,2018,1
GSE115134,2018,1
GSE115135,2018,0
GSE115136,2019,1
GSE115137,2018,1
GSE115139,2019,1
GSE115142,2018,0
GSE115143,2019,1
GSE115146,2018,0
GSE115147,2018,1
GSE115149,2019,1
GSE115150,2018,0
GSE115153,2019,0
GSE115155,2018,0
GSE115156,2019,1
GSE115157,2019,0
GSE115163,2018,1
GSE115165,2018,0
GSE115166,2018,1
GSE115168,2018,1
GSE115169,2019,1
GSE115171,2018,0
GSE115172,2018,0
GSE115179,2018,0
GSE115185,2018,1
GSE115186,2018,0
GSE115187,2018,0
GSE115188,2018,1
GSE115189,2018,0
GSE115190,2019,1
GSE115193,2018,1
GSE115198,2019,1
GSE115199,2019,1
GSE115202,2018,0
GSE115203,2019,1
GSE115204,2018,1
GSE115205,2018,1
GSE115206,2018,1
GSE115209,2019,1
GSE115210,2019,1
GSE115214,2019,1
GSE115217,2019,1
GSE115218,2019,0
GSE115219,2019,0
GSE115220,2019,0
GSE115223,2018,0
GSE115225,2019,0
GSE115226,2018,1
GSE115232,2019,0
GSE115234,2018,1
GSE115237,2018,1
GSE115238,2018,0
GSE115239,2019,0
GSE115240,2018,1
GSE115242,2019,1
GSE115244,2019,0
GSE115251,2019,1
GSE115255,2019,1
GSE115256,2018,0
GSE115257,2018,0
GSE115258,2018,1
GSE115259,2018,0
GSE115262,2018,0
GSE115263,2018,0
GSE115265,2019,1
GSE115266,2018,1
GSE115272,2018,1
GSE115277,2019,0
GSE115280,2018,0
GSE115288,2019,0
GSE115291,2019,0
GSE115301,2019,1
GSE115302,2018,1
GSE115305,2018,1
GSE115307,2019,0
GSE115308,2018,1
GSE115309,2018,0
GSE115311,2018,0
GSE115312,2019,1
GSE115314,2019,1
GSE115318,2018,1
GSE115319,2018,0
GSE115322,2019,1
GSE115323,2019,1
GSE115327,2019,0
GSE115330,2019,1
GSE115331,2018,0
GSE115340,2018,1
GSE115345,2018,0
GSE115346,2018,1
GSE115348,2018,1
GSE115349,2018,1
GSE115350,2018,0
GSE115353,2018,0
GSE115354,2019,1
GSE115355,2018,1
GSE115356,2018,0
GSE115361,2019,1
GSE115362,2019,0
GSE115364,2018,0
GSE115366,2018,1
GSE115367,2018,0
GSE115369,2018,0
GSE115370,2018,0
GSE115371,2018,0
GSE115373,2018,0
GSE115376,2018,0
GSE115377,2019,1
GSE115378,2018,0
GSE115381,2019,1
GSE115383,2018,1
GSE115386,2018,1
GSE115388,2018,0
GSE115389,2019,1
GSE115390,2019,0
GSE115395,2019,1
GSE115396,2018,0
GSE115397,2018,1
GSE115398,2019,1
GSE115400,2019,1
GSE115401,2018,1
GSE115403,2019,0
GSE115404,2018,0
GSE115405,2018,0
GSE115411,2019,0
GSE115414,2019,0
GSE115416,2018,0
GSE115421,2019,1
GSE115422,2019,1
GSE115423,2018,0
GSE115427,2019,0
GSE115429,2018,1
GSE115434,2019,0
GSE115435,2019,0
GSE115439,2018,0
GSE115447,2018,1
GSE115448,2018,1
GSE115449,2018,1
GSE115462,2018,1
GSE115463,2018,0
GSE115464,2018,0
GSE115466,2018,0
GSE115467,2019,0
GSE115469,2018,1
GSE115472,2018,1
GSE115474,2018,1
GSE115476,2018,0
GSE115477,2018,1
GSE115478,2018,1
GSE115480,2019,1
GSE115481,2019,1
GSE115483,2019,0
GSE115489,2018,1
GSE115490,2018,0
GSE115495,2018,1
GSE115496,2019,0
GSE115497,2019,1
GSE115498,2018,1
GSE115499,2019,1
GSE115502,2018,0
GSE115503,2018,1
GSE115504,2018,0
GSE115505,2018,0
GSE115509,2018,1
GSE115511,2018,0
GSE115514,2019,0
GSE115522,2018,0
GSE115523,2018,0
GSE115526,2018,1
GSE115528,2018,1
GSE115529,2019,0
GSE115531,2019,0
GSE115532,2018,0
GSE115533,2018,1
GSE115534,2019,0
GSE115535,2019,1
GSE115536,2019,0
GSE115537,2018,1
GSE115539,2018,0
GSE115541,2018,1
GSE115542,2018,0
GSE115547,2018,1
GSE115550,2018,1
GSE115553,2018,0
GSE115554,2018,1
GSE115555,2018,0
GSE115556,2019,1
GSE115559,2018,1
GSE115563,2018,0
GSE115570,2018,0
GSE115571,2018,0
GSE115575,2019,1
GSE115577,2019,1
GSE115578,2018,0
GSE115579,2018,0
GSE115580,2018,0
GSE115583,2018,0
GSE115584,2019,1
GSE115585,2018,1
GSE115589,2019,0
GSE115594,2018,0
GSE115595,2018,0
GSE115598,2018,0
GSE115599,2018,0
GSE115600,2019,1
GSE115601,2018,1
GSE115605,2018,1
GSE115606,2018,0
GSE115608,2018,0
GSE115609,2018,0
GSE115611,2018,0
GSE115612,2019,1
GSE115616,2019,1
GSE115618,2018,0
GSE115619,2019,0
GSE115620,2018,0
GSE115621,2018,1
GSE115622,2019,1
GSE115626,2019,0
GSE115627,2018,0
GSE115628,2018,0
GSE115631,2019,0
GSE115632,2018,1
GSE115634,2018,0
GSE115636,2018,1
GSE115638,2018,1
GSE115639,2018,1
GSE115640,2018,0
GSE115641,2019,0
GSE115643,2018,0
GSE115647,2018,0
GSE115649,2019,1
GSE115650,2018,1
GSE115652,2018,1
GSE115653,2018,1
GSE115654,2018,1
GSE115655,2018,1
GSE115656,2018,0
GSE115657,2018,0
GSE115658,2019,1
GSE115659,2019,1
GSE115661,2019,1
GSE115663,2019,1
GSE115665,2018,1
GSE115669,2019,0
GSE115670,2019,1
GSE115671,2019,0
GSE115675,2018,0
GSE115678,2019,1
GSE115680,2019,1
GSE115683,2019,1
GSE115684,2019,0
GSE115686,2018,1
GSE115687,2018,0
GSE115694,2018,0
GSE115695,2018,0
GSE115698,2018,0
GSE115699,2019,1
GSE115700,2019,1
GSE115701,2019,1
GSE115702,2019,0
GSE115707,2018,1
GSE115708,2018,1
GSE115709,2018,0
GSE115710,2018,0
GSE115711,2018,0
GSE115713,2018,0
GSE115714,2018,0
GSE115715,2018,0
GSE115717,2018,0
GSE115718,2018,0
GSE115719,2018,0
GSE115720,2018,0
GSE115721,2018,0
GSE115723,2018,1
GSE115727,2018,0
GSE115729,2018,0
GSE115730,2019,1
GSE115731,2018,0
GSE115732,2018,1
GSE115736,2018,1
GSE115737,2018,0
GSE115739,2018,0
GSE115740,2018,0
GSE115743,2018,0
GSE115744,2018,0
GSE115745,2018,0
GSE115746,2018,1
GSE115748,2018,0
GSE115756,2019,0
GSE115758,2018,0
GSE115760,2019,1
GSE115761,2019,0
GSE115762,2019,1
GSE115763,2019,0
GSE115766,2019,1
GSE115768,2019,0
GSE115769,2018,1
GSE115770,2019,1
GSE115774,2019,1
GSE115778,2018,1
GSE115779,2018,1
GSE115785,2018,0
GSE115786,2019,1
GSE115787,2019,1
GSE115789,2018,1
GSE115792,2018,0
GSE115795,2018,0
GSE115796,2018,0
GSE115798,2018,1
GSE115806,2019,1
GSE115811,2018,1
GSE115813,2018,1
GSE115814,2018,0
GSE115815,2019,1
GSE115818,2018,1
GSE115821,2018,1
GSE115823,2019,1
GSE115824,2019,0
GSE115827,2018,0
GSE115828,2019,1
GSE115831,2018,0
GSE115832,2018,0
GSE115837,2019,1
GSE115845,2018,1
GSE115849,2019,1
GSE115850,2018,1
GSE115853,2019,1
GSE115858,2018,0
GSE115859,2018,0
GSE115860,2018,0
GSE115861,2019,1
GSE115862,2019,0
GSE115863,2018,0
GSE115865,2018,0
GSE115867,2018,0
GSE115873,2019,1
GSE115875,2019,0
GSE115884,2018,1
GSE115886,2018,0
GSE115888,2019,0
GSE115892,2018,1
GSE115894,2019,1
GSE115895,2019,0
GSE115896,2019,0
GSE115898,2018,0
GSE115899,2018,1
GSE115900,2018,1
GSE115901,2018,0
GSE115902,2018,0
GSE115903,2018,1
GSE115904,2018,1
GSE115905,2019,1
GSE115906,2018,1
GSE115908,2019,0
GSE115914,2019,0
GSE115915,2018,1
GSE115919,2018,0
GSE115923,2018,1
GSE115924,2018,1
GSE115926,2018,0
GSE115928,2019,0
GSE115930,2018,0
GSE115931,2019,1
GSE115934,2018,1
GSE115935,2018,0
GSE115936,2019,1
GSE115937,2019,1
GSE115938,2018,0
GSE115939,2019,1
GSE115940,2018,0
GSE115941,2018,1
GSE115943,2019,1
GSE115946,2018,0
GSE115950,2018,1
GSE115951,2018,1
GSE115952,2019,1
GSE115955,2019,1
GSE115956,2019,1
GSE115958,2019,0
GSE115960,2018,0
GSE115961,2018,0
GSE115967,2019,1
GSE115968,2018,0
GSE115969,2018,0
GSE115972,2019,0
GSE115974,2018,0
GSE115975,2019,1
GSE115976,2019,0
GSE115977,2018,1
GSE115978,2018,1
GSE115979,2018,0
GSE115981,2019,0
GSE115982,2018,0
GSE115984,2018,0
GSE115986,2019,0
GSE115988,2019,1
GSE115990,2018,0
GSE115993,2018,0
GSE115998,2019,1
GSE115999,2019,1
GSE116001,2019,1
GSE116004,2019,1
GSE116005,2019,1
GSE116006,2018,1
GSE116008,2019,1
GSE116009,2018,1
GSE116010,2018,1
GSE116011,2018,0
GSE116013,2018,1
GSE116015,2019,1
GSE116017,2018,1
GSE116018,2019,0
GSE116027,2019,1
GSE116030,2018,1
GSE116031,2018,0
GSE116032,2018,0
GSE116033,2018,1
GSE116035,2019,1
GSE116036,2018,0
GSE116037,2019,0
GSE116040,2019,0
GSE116041,2019,1
GSE116048,2019,0
GSE116049,2019,0
GSE116050,2019,0
GSE116051,2019,0
GSE116052,2019,0
GSE116054,2019,0
GSE116056,2018,0
GSE116059,2018,1
GSE116061,2018,0
GSE116063,2019,1
GSE116066,2018,0
GSE116068,2018,0
GSE116069,2019,1
GSE116073,2018,0
GSE116076,2018,0
GSE116080,2019,1
GSE116081,2019,0
GSE116083,2019,0
GSE116085,2019,0
GSE116086,2019,1
GSE116087,2018,0
GSE116090,2018,1
GSE116092,2019,1
GSE116093,2019,0
GSE116094,2018,1
GSE116096,2019,1
GSE116098,2018,1
GSE116099,2018,1
GSE116100,2018,0
GSE116104,2018,0
GSE116111,2019,0
GSE116113,2018,0
GSE116114,2019,0
GSE116115,2019,1
GSE116116,2019,0
GSE116117,2019,1
GSE116120,2018,1
GSE116121,2019,1
GSE116123,2019,0
GSE116124,2018,0
GSE116125,2018,0
GSE116126,2019,1
GSE116127,2019,0
GSE116128,2018,0
GSE116129,2019,1
GSE116130,2019,1
GSE116131,2018,1
GSE116132,2019,0
GSE116133,2018,1
GSE116136,2018,0
GSE116138,2019,0
GSE116139,2019,1
GSE116140,2018,0
GSE116141,2019,0
GSE116142,2019,0
GSE116146,2019,0
GSE116147,2019,0
GSE116155,2019,1
GSE116157,2018,0
GSE116159,2018,1
GSE116160,2018,1
GSE116165,2018,0
GSE116166,2018,0
GSE116169,2019,0
GSE116170,2018,0
GSE116172,2018,1
GSE116177,2018,1
GSE116178,2018,1
GSE116180,2018,1
GSE116185,2018,0
GSE116187,2018,1
GSE116188,2018,1
GSE116191,2018,0
GSE116193,2018,0
GSE116194,2019,1
GSE116204,2019,1
GSE116208,2019,0
GSE116210,2018,1
GSE116215,2018,1
GSE116216,2018,1
GSE116217,2018,0
GSE116221,2019,0
GSE116222,2019,1
GSE116225,2018,0
GSE116226,2018,0
GSE116227,2018,0
GSE116230,2018,1
GSE116233,2019,1
GSE116234,2018,0
GSE116236,2018,1
GSE116237,2018,0
GSE116238,2019,1
GSE116239,2018,0
GSE116240,2018,0
GSE116241,2019,1
GSE116242,2018,1
GSE116243,2018,0
GSE116244,2019,0
GSE116246,2018,0
GSE116250,2018,1
GSE116254,2019,0
GSE116256,2019,0
GSE116259,2019,0
GSE116260,2019,0
GSE116262,2019,0
GSE116263,2018,0
GSE116265,2018,0
GSE116266,2019,1
GSE116267,2019,1
GSE116268,2018,0
GSE116269,2019,1
GSE116270,2018,0
GSE116271,2018,0
GSE116272,2018,0
GSE116274,2019,1
GSE116277,2019,0
GSE116279,2019,0
GSE116282,2018,0
GSE116283,2018,1
GSE116284,2018,1
GSE116286,2019,0
GSE116287,2018,1
GSE116288,2019,0
GSE116290,2019,0
GSE116296,2019,0
GSE116299,2018,1
GSE116313,2019,1
GSE116314,2019,1
GSE116323,2018,0
GSE116324,2018,0
GSE116327,2018,1
GSE116329,2018,1
GSE116332,2018,0
GSE116333,2018,1
GSE116335,2018,1
GSE116341,2018,1
GSE116342,2019,1
GSE116343,2019,0
GSE116346,2019,1
GSE116347,2018,1
GSE116348,2018,0
GSE116349,2019,0
GSE116350,2018,0
GSE116351,2019,0
GSE116353,2019,1
GSE116354,2018,1
GSE116355,2019,0
GSE116356,2019,0
GSE116357,2019,0
GSE116358,2018,1
GSE116359,2018,1
GSE116360,2018,0
GSE116363,2018,0
GSE116364,2019,1
GSE116365,2018,0
GSE116366,2018,0
GSE116369,2018,0
GSE116372,2019,1
GSE116374,2019,1
GSE116385,2018,0
GSE116386,2018,0
GSE116390,2019,1
GSE116393,2019,1
GSE116394,2019,0
GSE116397,2019,1
GSE116398,2018,0
GSE116400,2018,0
GSE116404,2018,1
GSE116405,2018,0
GSE116407,2018,1
GSE116408,2018,0
GSE116412,2018,0
GSE116413,2019,1
GSE116415,2018,1
GSE116419,2018,1
GSE116422,2018,0
GSE116423,2018,0
GSE116425,2019,0
GSE116428,2019,1
GSE116431,2018,0
GSE116435,2018,0
GSE116453,2018,0
GSE116454,2019,1
GSE116456,2019,1
GSE116458,2018,1
GSE116462,2018,1
GSE116463,2019,0
GSE116466,2018,0
GSE116468,2018,0
GSE116470,2018,1
GSE116471,2019,1
GSE116472,2018,0
GSE116474,2019,1
GSE116475,2019,1
GSE116476,2018,1
GSE116478,2019,0
GSE116479,2019,0
GSE116480,2019,0
GSE116481,2019,1
GSE116484,2018,0
GSE116490,2019,0
GSE116496,2018,0
GSE116499,2018,0
GSE116500,2018,0
GSE116501,2018,0
GSE116503,2018,0
GSE116508,2018,1
GSE116511,2018,0
GSE116514,2019,0
GSE116515,2018,1
GSE116516,2018,1
GSE116517,2018,0
GSE116519,2019,1
GSE116521,2019,1
GSE116523,2018,0
GSE116525,2018,0
GSE116533,2018,1
GSE116534,2018,1
GSE116535,2018,0
GSE116536,2018,0
GSE116538,2019,1
GSE116539,2019,1
GSE116541,2019,0
GSE116550,2019,0
GSE116553,2019,1
GSE116555,2018,0
GSE116558,2018,1
GSE116559,2018,1
GSE116561,2018,0
GSE116563,2018,0
GSE116564,2018,0
GSE116566,2019,0
GSE116567,2018,1
GSE116568,2019,1
GSE116570,2018,0
GSE116571,2019,1
GSE116572,2018,0
GSE116574,2019,0
GSE116578,2019,1
GSE116579,2018,0
GSE116580,2019,1
GSE116581,2018,0
GSE116582,2018,0
GSE116583,2018,0
GSE116587,2018,0
GSE116588,2019,0
GSE116590,2019,0
GSE116593,2018,0
GSE116597,2018,0
GSE116600,2018,1
GSE116601,2018,0
GSE116602,2018,0
GSE116604,2018,1
GSE116605,2018,0
GSE116607,2018,1
GSE116608,2018,0
GSE116610,2018,1
GSE116611,2019,0
GSE116613,2018,0
GSE116614,2018,0
GSE116620,2019,1
GSE116621,2019,0
GSE116623,2019,1
GSE116624,2018,0
GSE116629,2019,1
GSE116630,2018,0
GSE116631,2019,1
GSE116633,2018,0
GSE116635,2019,1
GSE116637,2018,0
GSE116638,2018,0
GSE116639,2019,1
GSE116642,2018,1
GSE116649,2018,1
GSE116650,2018,1
GSE116654,2019,1
GSE116656,2019,1
GSE116657,2019,1
GSE116662,2019,1
GSE116663,2019,1
GSE116667,2019,0
GSE116668,2019,1
GSE116670,2019,0
GSE116672,2018,0
GSE116674,2019,1
GSE116678,2019,0
GSE116681,2018,1
GSE116682,2019,1
GSE116683,2018,0
GSE116684,2019,1
GSE116685,2019,1
GSE116687,2018,0
GSE116690,2018,0
GSE116691,2019,1
GSE116692,2018,0
GSE116697,2019,0
GSE116698,2019,0
GSE116701,2018,0
GSE116702,2018,0
GSE116703,2018,0
GSE116704,2019,1
GSE116705,2018,0
GSE116706,2018,0
GSE116708,2018,0
GSE116712,2018,0
GSE116713,2018,1
GSE116718,2018,0
GSE116722,2018,0
GSE116723,2018,0
GSE116728,2019,1
GSE116729,2018,0
GSE116732,2019,0
GSE116734,2019,0
GSE116737,2019,0
GSE116741,2019,0
GSE116744,2018,1
GSE116745,2018,0
GSE116748,2018,0
GSE116749,2019,1
GSE116752,2018,0
GSE116753,2019,1
GSE116756,2018,1
GSE116758,2018,1
GSE116759,2019,1
GSE116760,2019,1
GSE116765,2019,1
GSE116770,2018,0
GSE116771,2018,0
GSE116773,2019,0
GSE116776,2018,0
GSE116777,2018,0
GSE116780,2019,1
GSE116782,2018,0
GSE116788,2018,0
GSE116793,2018,1
GSE116794,2018,0
GSE116797,2018,1
GSE116799,2019,0
GSE116802,2018,1
GSE116804,2018,0
GSE116807,2019,0
GSE116808,2019,0
GSE116810,2018,0
GSE116811,2018,1
GSE116812,2019,0
GSE116813,2018,1
GSE116814,2018,0
GSE116815,2018,1
GSE116816,2018,1
GSE116817,2018,1
GSE116818,2018,0
GSE116819,2018,1
GSE116823,2018,0
GSE116824,2018,0
GSE116831,2019,0
GSE116832,2018,1
GSE116834,2019,0
GSE116840,2018,0
GSE116842,2018,0
GSE116850,2018,1
GSE116859,2019,1
GSE116860,2018,0
GSE116861,2018,0
GSE116862,2019,1
GSE116863,2019,1
GSE116864,2019,1
GSE116865,2018,0
GSE116866,2018,0
GSE116867,2019,0
GSE116870,2019,0
GSE116873,2019,0
GSE116876,2019,0
GSE116878,2018,0
GSE116894,2019,1
GSE116896,2019,0
GSE116897,2019,0
GSE116898,2019,0
GSE116899,2018,0
GSE116900,2018,0
GSE116904,2019,1
GSE116906,2019,1
GSE116907,2019,0
GSE116910,2018,0
GSE116914,2018,0
GSE116915,2018,1
GSE116916,2018,1
GSE116919,2019,0
GSE116920,2018,0
GSE116923,2018,0
GSE116927,2019,0
GSE116936,2018,0
GSE116943,2018,0
GSE116949,2018,1
GSE116950,2018,0
GSE116951,2018,0
GSE116955,2018,1
GSE116956,2019,1
GSE116957,2019,1
GSE116961,2018,0
GSE116963,2018,1
GSE116964,2019,0
GSE116966,2018,0
GSE116969,2018,1
GSE116971,2018,0
GSE116974,2018,0
GSE116977,2018,0
